episode,episode_reward,loss
0,[   0. -100.],"[nan, nan]"
1,[   0. -100.],"[nan, nan]"
2,[   0. -100.],"[nan, nan]"
3,[   0. -100.],"[nan, nan]"
4,[   0. -100.],"[nan, nan]"
5,[   0. -100.],"[nan, nan]"
6,[ 1. -2.],"[nan, nan]"
7,[   0. -100.],"[nan, nan]"
8,[ 1. -1.],"[nan, nan]"
9,[   0. -100.],"[nan, nan]"
10,[   0. -100.],"[nan, nan]"
